icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
adf0dd,2020/12/24 13:02:06,Newark Liberty International Airport,2020/12/24 13:47:52,Albany International Airport,WIG8306,1974,81,9853,431,1,8
4d00da,2020/12/24 13:10:44,Luxembourg-Findel International Airport,2020/12/24 13:48:29,Charles de Gaulle International Airport,LGL13PR,1686,27,1790,20,0,8
406df4,2020/12/24 13:20:21,Glasgow International Airport,2020/12/24 13:45:47,EGZU,GHIAL,529,136,16826,2433,0,1
a0d724,2020/12/24 13:02:06,Louisville Muhammad Ali International Airport,2020/12/24 13:38:12,80PN,UPS1228,1823,357,13813,931,2,8
e400d9,2020/12/24 13:10:38,Santos Dumont Airport,2020/12/24 13:51:39,Rio Galeão – Tom Jobim International Airport,FAB2101,2172,354,2731,82,1,5
407569,2020/12/24 13:15:30,Belfast International Airport,2020/12/24 13:56:25,Newcastle International Airport,EZY548,1696,261,6169,185,0,0
86ddd4,2020/12/24 13:02:02,Tokyo Haneda International Airport,2020/12/24 13:52:41,Osaka International Airport,JAL137,4396,515,2248,15,0,2
406ecb,2020/12/24 13:02:16,EGCB,2020/12/24 13:49:41,EGCB,GCIRZ,6119,259,1747,31,0,1
71c300,2020/12/24 13:23:15,Gimpo International Airport,2020/12/24 13:54:42,Jinhae Air Base,TWB9867,1258,241,20525,2359,2,1
3b77ed,2020/12/24 13:19:34,Lyon Bron Airport,2020/12/24 13:59:26,LFFJ,CTM0032,4001,1544,6227,2271,2,0
3c6447,2020/12/24 13:03:31,Amsterdam Airport Schiphol,2020/12/24 13:54:59,Frankfurt Airport,DLH3RM,5368,102,1912,26,0,5
407152,2020/12/24 13:47:00,RNAS Yeovilton,2020/12/24 13:58:55,EGHS,HLE10,7176,68,1279,42,2,3
a4ee59,2020/12/24 13:27:12,34TE,2020/12/24 13:51:57,Dallas Love Field,N417CF,3956,141,582,95,5,10
48605b,2020/12/24 13:22:42,Groningen Airport Eelde,2020/12/24 13:47:46,Groningen Airport Eelde,LIFELN4,397,116,1098,48,0,0
e4959d,2020/12/24 13:02:51,Novo Hamburgo Airport,2020/12/24 13:15:57,Canela Airport,PRCPQ,3499,528,17241,1913,1,0
a8a404,2020/12/24 13:01:07,Felts Field,2020/12/24 13:14:10,WA23,N656LF,286,130,16231,831,3,4
3cc0c4,2020/12/24 13:03:11,London Biggin Hill Airport,2020/12/24 13:45:58,Paris-Le Bourget Airport,AHO446U,314,67,703,13,0,9
a44a22,2020/12/24 13:08:43,Chicago Rockford International Airport,2020/12/24 13:48:57,Detroit Metropolitan Wayne County Airport,ATN1488,1827,535,4804,291,5,8
407605,2020/12/24 13:21:58,EDHF,2020/12/24 13:59:11,EDHF,GCKXJ,2378,125,6319,369,0,2
a29cf3,2020/12/24 13:03:00,Harry Reid International Airport,2020/12/24 13:45:54,KP19,N268CM,1274,100,832,114,2,9
491114,2020/12/24 13:22:11,Cascais Airport,2020/12/24 13:44:04,Cascais Airport,RVP196,169,68,1220,99,1,3
463eb1,2020/12/24 13:26:24,EFHF,2020/12/24 13:46:53,EFHF,OHXTH,3113,302,14138,409,1,1
4d2286,2020/12/24 13:04:34,Bologna Guglielmo Marconi Airport,2020/12/24 13:57:51,Brindisi Airport,RYR4338,2813,351,27958,1296,0,0
478467,2020/12/24 13:10:08,Florø Airport,2020/12/24 13:21:43,Florø Airport,HKS80R,263,72,275,49,0,0
510136,2020/12/24 13:15:39,Gomel Airport,2020/12/24 13:54:57,Boryspil International Airport,BYS490,787,115,2455,29,0,0
40718d,2020/12/24 13:05:13,EGNE,2020/12/24 13:37:01,EGNE,GHUMM,151,88,171,88,0,5
a4dd5e,2020/12/24 13:46:21,Bradley International Airport,2020/12/24 13:59:58,Quonset State Airport,UPS1062,338,90,8658,466,4,5
4cafc2,2020/12/24 13:37:55,Josep Tarradellas Barcelona-El Prat Airport,2020/12/24 13:58:59,Palma de Mallorca Airport,RYR6362,11396,1154,25316,1188,0,1
40755a,2020/12/24 13:41:44,Cornwall Airport Newquay,2020/12/24 13:59:10,Cornwall Airport Newquay,HLE01,1047,126,1160,141,0,3
3e120c,2020/12/24 13:08:31,EDCS,2020/12/24 13:21:51,EDBW,CHX71,10482,84,13662,156,0,3
a4cfe0,2020/12/24 13:02:16,Phoenix Sky Harbor International Airport,2020/12/24 13:58:12,Cable Airport,UPS9728,759,132,6097,131,1,6
3c65c6,2020/12/24 13:12:35,Munich Airport,2020/12/24 13:54:56,Frankfurt Airport,DLH5EW,1222,26,1012,33,0,4
3e47e2,2020/12/24 13:13:21,Berlin Brandenburg Airport,2020/12/24 13:59:39,Frankfurt Airport,DISKO,2327,127,470,33,0,5
345615,2020/12/24 13:11:56,Palma de Mallorca Airport,2020/12/24 13:28:58,Ibiza Airport,ANE85LS,4461,410,9068,350,1,0
3d2b38,2020/12/24 13:07:43,Cascais Airport,2020/12/24 13:55:16,Cascais Airport,DEOPS,25,68,929,68,1,3
401d78,2020/12/24 13:09:53,Warton Aerodrome,2020/12/24 13:43:01,Warton Aerodrome,GBGCO,273,169,1401,138,1,2
3e0f90,2020/12/24 13:00:31,Nuremberg Airport,2020/12/24 13:21:28,EDND,CHX65,10652,77,12913,267,0,5
89914b,2020/12/24 13:32:05,Penghu Magong Airport,2020/12/24 13:54:10,RCLG,MDA786,456,197,3630,337,0,1
a3e473,2020/12/24 13:01:39,Dane County Regional Truax Field,2020/12/24 13:45:04,Willow Run Airport,KFS57,1172,103,7950,490,4,8
402331,2020/12/24 13:05:12,EGNE,2020/12/24 13:48:58,Oxford (Kidlington) Airport,GTYRE,981,12,596,74,0,7
406de6,2020/12/24 13:15:11,Inverness Airport,2020/12/24 13:50:58,Inverness Airport,CG151,2972,554,25121,9,0,0
4ba284,2020/12/24 13:25:03,LTAE,2020/12/24 13:51:34,LTAE,TCHTD,1224,35,4613,131,0,2
